Date,Open,High,Low,Close,Volume
2024-01-01,100.00,101.00,99.00,100.53,10000
2024-01-02,100.53,101.53,99.53,101.99,10000
2024-01-03,101.99,102.99,100.99,100.06,10000
2024-01-04,100.06,101.06,99.06,100.02,10000
2024-01-05,100.02,101.02,99.02,101.43,10000
2024-01-06,101.43,102.43,100.43,100.05,10000
2024-01-07,100.05,101.05,99.05,98.72,10000
2024-01-08,98.72,99.72,97.72,96.87,10000
2024-01-09,96.87,97.87,95.87,98.31,10000
2024-01-10,98.31,99.31,97.31,97.93,10000
2024-01-11,97.93,98.93,96.93,96.94,10000
2024-01-12,96.94,97.94,95.94,96.42,10000
2024-01-13,96.42,97.42,95.42,94.62,10000
2024-01-14,94.62,95.62,93.62,92.95,10000
2024-01-15,92.95,93.95,91.95,91.58,10000
2024-01-16,91.58,92.58,90.58,93.45,10000
2024-01-17,93.45,94.45,92.45,92.76,10000
2024-01-18,92.76,93.76,91.76,92.30,10000
2024-01-19,92.30,93.30,91.30,92.84,10000
2024-01-20,92.84,93.84,91.84,93.59,10000
2024-01-21,93.59,94.59,92.59,94.46,10000
2024-01-22,94.46,95.46,93.46,93.28,10000
2024-01-23,93.28,94.28,92.28,92.09,10000
2024-01-24,92.09,93.09,91.09,91.54,10000
2024-01-25,91.54,92.54,90.54,93.33,10000
2024-01-26,93.33,94.33,92.33,94.73,10000
2024-01-27,94.73,95.73,93.73,96.02,10000
2024-01-28,96.02,97.02,95.02,96.67,10000
2024-01-29,96.67,97.67,95.67,96.25,10000
